Ano,Evento,Nome,Sexo,Atuação,Impactos (resumo),País da mulher,País do evento,Fonte (link verificado)
2024,Google I/O (Keynote),Elizabeth (Liz) Reid,F,"VP, Head of Search – Google",Apresentou avanços de IA no Google Search (AI Overviews) para ampliar acesso à informação.,Estados Unidos,Estados Unidos,https://io.google/2024/explore/a6eb8619-5c2e-4671-84cb-b938c27103be/
2024,Google I/O (Keynote),Sissie Hsiao,F,"VP & GM, Gemini experiences e Google Assistant – Google","Anunciou novidades do Gemini e recursos avançados para assinantes (1.5 Pro, experiências personalizadas).",Estados Unidos,Estados Unidos,https://blog.google/technology/ai/gemini-google-products-io-2024/
2024,Google I/O (Keynote),Aparna Pappu,F,"VP & GM, Google Workspace",Detalhou como o Gemini 1.5 Pro melhora a produtividade no Workspace e no Gmail móvel.,Estados Unidos,Estados Unidos,https://blog.google/products/workspace/google-workspace-io-2024/
2024,Google I/O (Keynote),Rose Yao,F,"VP de Produto, Search Verticals e Internacional – Google",Atualizações de busca vertical e expansão internacional do Search com IA.,Estados Unidos,Estados Unidos,https://io.google/2024/explore/a6eb8619-5c2e-4671-84cb-b938c27103be/
2024,Google I/O (Keynote),Jenny Blackburn,F,"VP de UX, Gemini experiences e Google Assistant – Google",Apresentou experiências de UX com Gemini no ecossistema Google.,Estados Unidos,Estados Unidos,https://io.google/2024/explore/a6eb8619-5c2e-4671-84cb-b938c27103be/
2024,KubeCon + CloudNativeCon Europe (Keynote),Paige Bailey,F,Head of AI Content Strategy – Google DeepMind (à época do evento),Keynote sobre LLMs e práticas responsáveis no ecossistema cloud native.,Estados Unidos,França,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/speakers/
2024,KubeCon + CloudNativeCon Europe (Keynote),Priyanka Sharma,F,Ex-Executive Director – CNCF,Participação em keynotes destacando a evolução do ecossistema Kubernetes e CNCF.,Índia/EUA,França,https://events.linuxfoundation.org/kubecon-cloudnativecon-europe/program/speakers/
2024,KubeCon + CloudNativeCon Europe (Keynote),Lin Sun,F,Distinguished Engineer – IBM (Service Mesh),Keynote técnica em Paris sobre segurança e malha de serviços em Kubernetes.,Estados Unidos/China,França,https://www.youtube.com/playlist?list=PLj6h78yzYM2PjoxWp_019Da5ZlKLxQ0SY
2024,MWC Barcelona (Ministers & Leaders Programme),Jessica Rosenworcel,F,Chairwoman – U.S. Federal Communications Commission (FCC),"Debateu políticas para conectividade e espectro, com foco em inclusão digital.",Estados Unidos,Espanha,https://www.mobileworldlive.com/blog/ministers-musk-share-mobile-world-congress-spotlight/
2024,MWC Shanghai (Keynote/Summit),Yang Lan,F,Chairperson – Sun Media Group (China),"Participação como líder de mídia e tecnologia, destacando empreendedorismo e inovação.",China,China,https://mobile-mag.com/telecoms/whos-who-at-mwc-shanghais-main-conference-tracks
2024,Africa Tech Festival (EQL Lounge @ AI Summit Cape Town),Funke Opeke,F,CEO – MainOne (Nigéria),"Referência continental em conectividade e data centers, ampliando acesso à internet na África Ocidental.",Nigéria,África do Sul,https://eqlher.com/eql-lounge-at-ai-summit-cape-town/
2024,Africa Tech Festival (EQL Lounge @ AI Summit Cape Town),Motunrayo Opayinka,F,CEO – Womenovate (Nigéria),Iniciativas para formar e inserir mulheres em STEM e carreiras digitais.,Nigéria,África do Sul,https://eqlher.com/eql-lounge-at-ai-summit-cape-town/
2024,LEAP (Women in Tech),Sahar Albanarna,F,Executiva/setor digital (Arabia Saudita),"Participação no programa Women in Tech, fomentando liderança feminina em TI no Oriente Médio.",Arábia Saudita,Arábia Saudita,https://www.onegiantleap.com/en/programme-tracks/women-in-tech.html
2024,RSA Conference (Opening Night),Jen Easterly,F,Diretora – CISA (EUA),Keynote sobre resiliência cibernética e colaboração público‑privada.,Estados Unidos,Estados Unidos,https://www.rsaconference.com/press-release/rsac-2024-opening-night-speakers-revealed
2024,RSA Conference (Opening Night),Emma Redmond,F,Deputy Global Head of Privacy – OpenAI,Discussões sobre privacidade e IA responsável.,Irlanda,Estados Unidos,https://www.rsaconference.com/press-release/rsac-2024-opening-night-speakers-revealed
2023,OpenAI DevDay,Mira Murati,F,CTO – OpenAI,Apresentou avanços de modelos e capacidades para desenvolvedores no DevDay.,Estados Unidos/Albânia,Estados Unidos,https://www.youtube.com/watch?v=U9mJuUkhUzk
2023,Oracle CloudWorld (Keynote),Safra Catz,F,CEO – Oracle,Keynote sobre estratégia de nuvem e crescimento; liderança feminina no setor enterprise.,Estados Unidos/Israel,Estados Unidos,https://blogs.oracle.com/oracle/post/safra-catz-cloudworld-2023-keynote-business-performance-cloud
2024,NVIDIA GTC (Healthcare Keynote),Kimberly Powell,F,VP/GM de Saúde – NVIDIA,"Keynote sobre IA generativa em saúde, assistentes digitais e cirurgia digital.",Estados Unidos,Estados Unidos,https://www.nvidia.com/en-us/on-demand/session/gtc24-s62604/
2024,Web Summit Lisboa,Dominique Palmer,F,Ativista climática e comunicadora digital,"Convidada do Web Summit 2024; pauta tecnologia, clima e juventude.",Reino Unido,Portugal,https://websummit.com/speakers/dominique-palmer/
2025,Web Summit Rio,Luciana Santos,F,"Ministra da Ciência, Tecnologia e Inovação – Brasil",Liderança em CT&I com foco em reindustrialização e inclusão científica.,Brasil,Brasil,https://rio.websummit.com/speakers/
2025,Web Summit Rio,Patricia Florissi,F,"Technical Director, Office of the CTO – Google Cloud",Discussões sobre infraestrutura de IA e nuvem no Brasil.,Brasil,Brasil,https://rio.websummit.com/speakers/
2025,Web Summit Rio,Livia Chanes,F,CEO Brasil – Nubank,Liderança em fintech e inclusão financeira digital.,Brasil,Brasil,https://rio.websummit.com/speakers/
2025,Web Summit Rio,Shelley McKinley,F,Chief Legal Officer – GitHub,Debates sobre governança de IA e código aberto.,Estados Unidos,Brasil,https://rio.websummit.com/speakers/
2024,Web Summit Rio (Women in Tech),Rebecca Parsons,F,CTO – Thoughtworks,Engenharia e transformação digital com foco em ética e diversidade.,Estados Unidos,Brasil,https://rio.websummit.com/women-in-tech/
2024,COMPUTEX Taipei (Opening Keynote),Dr. Lisa Su,F,Chair & CEO – AMD,Anunciou roadmap de aceleradores e CPUs/NPU para a era da IA; liderança em HPC/AI.,Estados Unidos/Taiwan,Taiwan,https://ir.amd.com/news-events/press-releases/detail/1199/amd-chair-and-chief-executive-officer-dr-lisa-su-to-deliver-the-opening-keynote-at-computex-2024
2019,COMPUTEX Taipei (Keynote),Dr. Lisa Su,F,CEO – AMD,Keynote histórica em 2019 com lançamentos de Ryzen/EPYC e foco em HPC.,Estados Unidos/Taiwan,Taiwan,https://ir.amd.com/news-events/press-releases/detail/889/amd-to-livestream-dr-lisa-su-computex-2019-keynote
2024,AWS re:Invent (Innovation Talk),Mai‑Lan Tomsen Bukovec,F,VP de Tecnologia (Storage/Streaming/Messaging) – AWS,Palestra sobre padrões de dados e adoção de IA/analytics em larga escala.,Estados Unidos,Estados Unidos,https://reinvent.awsevents.com/on-demand/
2022,AWS re:Invent (Leadership Session),Mai‑Lan Tomsen Bukovec,F,"VP, Foundational Data Services – AWS",Sessão de liderança sobre inovações de armazenamento em exabytes no AWS.,Estados Unidos,Estados Unidos,https://aws.amazon.com/blogs/big-data/your-guide-to-streaming-data-real-time-analytics-at-reinvent-2022/
2024,Microsoft Build (Session),Julia Liuson,F,"President, Developer Division – Microsoft",Sessão com John Lambert sobre segurança por padrão e ferramentas para devs.,Estados Unidos/China,Estados Unidos,https://devblogs.microsoft.com/visualstudio/visual-studio-at-build-2024/
2023,Microsoft Ignite (Keynote Security),Vasu Jakkal,F,"CVP, Security, Compliance, Identity & Management – Microsoft",Keynote sobre a era da segurança com IA (Security Copilot) e governança.,Índia/EUA,Estados Unidos,https://www.microsoft.com/en-us/security/blog/2023/11/07/digital-security-sessions-at-microsoft-ignite-to-prepare-you-for-the-era-of-ai/
2025,Web Summit Vancouver,Michelle Zatlyn,F,Co‑fundadora e COO – Cloudflare,Liderança em infraestrutura de internet e segurança; presença em palcos globais.,Canadá,Canadá,https://vancouver.websummit.com/speakers/
2025,Web Summit Vancouver,Irina Novoselsky,F,CEO – Hootsuite (à época do anúncio),Estratégias de crescimento em plataformas sociais e SaaS.,Estados Unidos,Canadá,https://vancouver.websummit.com/speakers/
2025,Grace Hopper Celebration (Opening Keynote),Kellie Gerardi,F,Cientista/astronauta comercial e autora,Keynote de abertura da maior conferência de mulheres em tecnologia.,Estados Unidos,Estados Unidos,https://ghc.anitab.org/speakers
2022,Web Summit Lisboa (Impact),Sophia Kianni,F,Fundadora – Climate Cardinals; Embaixadora da ONU (clima),Palestra sobre engajamento jovem e tecnologia na pauta climática.,Estados Unidos,Portugal,https://websummit.com/blog/society/impact-speakers-sustainability-climate-change-kevin-pietersen-sophia-kianni/
